model,taxonomy,code,metric,value,source,notes
ilo_wp140,isco4,7533,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7534,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7534,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7534,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7535,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7535,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7535,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7536,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7536,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7536,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7541,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7541,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7541,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7542,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7542,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7542,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7543,exposure,0.33,derived,WP140 class: The Big Unknown
ilo_wp140,isco4,7543,augmentation_share,0.5,derived,WP140 class: The Big Unknown
ilo_wp140,isco4,7543,automation_share,0.5,derived,WP140 class: The Big Unknown
ilo_wp140,isco4,7544,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7544,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7544,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7549,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7549,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7549,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8111,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8111,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8111,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8112,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8112,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8112,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8113,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8113,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8113,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8114,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8114,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8114,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8121,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8121,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8121,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8122,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8122,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8122,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8131,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8131,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8131,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8132,exposure,0.66,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,8132,augmentation_share,1.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,8132,automation_share,0.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,8141,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8141,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8141,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8142,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8142,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8142,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8143,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8143,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8143,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8151,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8151,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8151,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8152,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8152,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8152,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8153,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8153,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8153,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,8154,exposure,0.0,derived,WP140 class: Not Affected
